A,B,C,D,E,TITLE,index,num,x,y
0.712560158,0.8385485262,0.5425482498,0.3645372978,0.9610407847,Set 2,32,3200,3200.712560158,2264.95830465652
0.1366537748,0.4976906301,0.6318637702,0.3401491702,0.1736140357,Set 2,38,3800,3800.1366537748,1626.24109898068
0.8871551088,0.1579317454,0.9035884316,0.4198138952,0.5118322408,Set 2,41,4100,4100.8871551088,-150.493665010308
0.7872736651,0.4262646469,0.3409734547,0.1523658312,0.6254711541,Set 2,52,5200,5200.7872736651,5631.240224531
0.0146760211,0.2860317274,0.6791648079,0.3152918609,0.2356097156,Set 2,4,400,400.0146760211,197.267895027439
0.7281051915,0.9534166655,0.8435080871,0.3718063936,0.0600546885,Set 2,98,9800,9800.7281051915,-5119.55982782385
0.1546959487,0.2400769125,0.5915415473,0.2521494123,0.8875790368,Set 2,13,1300,1300.1546959487,1046.28214601301
0.9475027328,0.9864959659,0.0322572912,0.4674930733,0.6849738483,Set 2,34,3400,3400.9475027328,2299.38244009906
0.9617485338,0.7093886667,0.3951642905,0.3590058525,0.6874136759,Set 2,89,8900,8900.9617485338,8155.44488222084
0.9643360737,0.3272531046,0.3251148263,0.1346352741,0.5579283507,Set 2,18,1800,1800.9643360737,-852.50124828197
0.0493972213,0.3225709094,0.9236980124,0.5590321031,0.0208814688,Set 2,36,3600,3600.0493972213,-3070.45286351472
0.0644035391,0.6165599065,0.5389593239,0.0187844259,0.6524758879,Set 2,31,3100,3100.0644035391,-752.54272195579
0.5400550636,0.0175620685,0.1731527329,0.5035382426,0.1006280677,Set 2,71,7100,7100.5400550636,7253.00165998731
0.592760975,0.1983106906,0.9977427567,0.5894025963,0.8218198632,Set 2,5,500,500.592760975,19.96944978043
0.3793649817,0.4194332094,0.0918729916,0.6627406842,0.4739021548,Set 2,9,900,900.3793649817,871.062980039193
0.1255619444,0.7521029,0.3768755458,0.3740731547,0.4477970737,Set 2,22,2200,2200.1255619444,480.526008173507
0.0871110504,0.4877203907,0.8205826424,0.7475511856,0.0889410531,Set 2,55,5500,5500.0871110504,-4998.7405431957
0.006811027,0.0691189689,0.0996789205,0.7298411408,0.1685898767,Set 2,72,7200,7200.006811027,2327.52994068444
