time_s,rpm,torque_nm,power_kw,fuel_kgh,cht_c,egt_c,eta_pct,phase,run_id,run_name
0.0,900.0,24.08,2.269,1.799,17.7,331.4,10.561,idle,0,Baseline
2.5,914.6,27.95,2.677,2.098,17.78,331.5,10.68,idle,0,Baseline
5.0,920.4,27.72,2.672,2.08,17.65,329.4,10.757,idle,0,Baseline
7.5,925.6,29.42,2.852,2.209,17.9,328.4,10.809,idle,0,Baseline
10.0,941.0,29.96,2.952,2.156,18.05,328.5,11.463,idle,0,Baseline
12.5,946.2,34.02,3.371,2.624,18.32,328.9,10.755,idle,0,Baseline
15.0,966.9,32.7,3.311,2.601,18.65,329.2,10.659,idle,0,Baseline
17.5,989.3,29.22,3.027,2.345,18.72,328.9,10.807,idle,0,Baseline
20.0,980.0,32.94,3.38,2.62,18.66,329.0,10.804,idle,0,Baseline
22.5,986.9,30.9,3.193,2.348,18.67,329.2,11.386,idle,0,Baseline
25.0,1005.4,28.64,3.016,2.211,18.62,328.8,11.417,idle,0,Baseline
27.5,1010.7,34.19,3.619,2.722,18.72,329.5,11.13,idle,0,Baseline
30.0,1013.8,37.81,4.015,3.01,18.92,328.3,11.166,idle,0,Baseline
32.5,1008.2,34.93,3.688,2.725,18.86,328.9,11.328,idle,0,Baseline
35.0,1020.9,31.98,3.419,2.425,18.99,328.2,11.802,idle,0,Baseline
37.5,1030.8,31.74,3.426,2.711,18.94,328.8,10.583,idle,0,Baseline
40.0,1012.0,35.01,3.71,2.674,19.1,328.8,11.617,idle,0,Baseline
42.5,1021.4,32.03,3.426,2.592,19.18,328.2,11.067,idle,0,Baseline
45.0,1006.5,30.64,3.229,2.337,19.2,328.4,11.567,idle,0,Baseline
47.5,1011.0,29.15,3.086,2.371,19.23,327.6,10.896,idle,0,Baseline
50.0,1002.8,27.96,2.937,2.226,19.2,326.9,11.045,idle,0,Baseline
52.5,1015.1,28.07,2.984,2.325,19.16,326.0,10.747,idle,0,Baseline
55.0,1000.1,26.11,2.734,2.129,19.0,325.9,10.752,idle,0,Baseline
57.5,1009.8,23.97,2.535,1.857,18.98,326.1,11.428,idle,0,Baseline
60.0,1002.1,20.03,2.102,1.589,19.09,326.3,11.072,idle,0,Baseline
62.5,991.2,21.76,2.259,1.765,19.23,325.8,10.718,idle,0,Baseline
65.0,959.7,18.09,1.818,1.478,19.24,325.9,10.297,idle,0,Baseline
67.5,970.5,20.48,2.081,1.721,19.22,325.5,10.125,idle,0,Baseline
70.0,965.8,14.71,1.488,1.204,19.0,324.7,10.35,idle,0,Baseline
72.5,957.3,16.1,1.614,1.291,19.01,324.6,10.469,idle,0,Baseline
75.0,930.2,15.66,1.526,1.238,18.87,324.7,10.318,idle,0,Baseline
77.5,929.7,12.52,1.219,0.999,18.7,323.7,10.21,idle,0,Baseline
80.0,913.4,18.3,1.75,1.462,18.59,323.3,10.02,idle,0,Baseline
82.5,903.5,17.67,1.672,1.363,18.51,323.0,10.273,idle,0,Baseline
85.0,910.6,13.93,1.328,1.091,18.35,322.6,10.191,idle,0,Baseline
87.5,880.3,16.71,1.54,1.222,18.26,321.8,10.549,idle,0,Baseline
90.0,1012.9,28.8,3.054,2.172,18.26,323.2,11.776,cruise,0,Baseline
92.5,1130.2,35.16,4.161,2.881,18.47,324.2,12.093,cruise,0,Baseline
95.0,1208.9,52.92,6.699,4.219,19.22,327.1,13.296,cruise,0,Baseline
97.5,1294.1,64.18,8.698,4.93,19.92,329.9,14.771,cruise,0,Baseline
100.0,1365.8,76.29,10.912,5.728,20.83,334.3,15.948,cruise,0,Baseline
102.5,1425.3,85.77,12.802,6.281,21.96,339.2,17.065,cruise,0,Baseline
105.0,1464.4,99.17,15.207,6.853,23.3,344.3,18.578,cruise,0,Baseline
107.5,1522.5,111.07,17.708,7.517,24.67,351.6,19.721,cruise,0,Baseline
110.0,1574.8,125.39,20.679,7.937,26.38,358.5,21.811,cruise,0,Baseline
112.5,1580.7,135.05,22.355,8.373,28.25,366.2,22.351,cruise,0,Baseline
115.0,1636.1,145.4,24.911,8.764,30.23,373.8,23.796,cruise,0,Baseline
117.5,1657.2,159.05,27.601,9.319,32.35,380.9,24.796,cruise,0,Baseline
120.0,1675.9,164.89,28.939,9.612,34.61,387.9,25.205,cruise,0,Baseline
122.5,1727.3,174.53,31.57,10.055,36.79,395.8,26.287,cruise,0,Baseline
125.0,1738.9,180.18,32.81,10.201,39.02,403.1,26.928,cruise,0,Baseline
127.5,1742.9,194.53,35.504,10.804,41.33,410.9,27.513,cruise,0,Baseline
130.0,1779.2,199.89,37.242,10.989,43.87,418.3,28.373,cruise,0,Baseline
132.5,1808.0,205.27,38.866,11.295,46.06,424.6,28.807,cruise,0,Baseline
135.0,1824.8,209.11,39.959,11.658,48.34,431.6,28.697,cruise,0,Baseline
137.5,1858.6,211.15,41.097,11.643,50.59,437.1,29.552,cruise,0,Baseline
140.0,1877.1,213.33,41.934,11.95,52.87,443.7,29.378,cruise,0,Baseline
142.5,1911.4,213.17,42.67,11.929,55.05,449.2,29.947,cruise,0,Baseline
145.0,1947.2,212.9,43.412,11.961,57.22,454.2,30.386,cruise,0,Baseline
147.5,1955.2,211.93,43.392,12.149,58.93,458.8,29.903,cruise,0,Baseline
150.0,1994.1,212.34,44.341,12.009,60.85,463.6,30.912,cruise,0,Baseline
152.5,2018.5,206.99,43.752,11.821,62.43,466.3,30.987,cruise,0,Baseline
155.0,2056.4,201.49,43.389,11.717,63.82,468.1,31.003,cruise,0,Baseline
157.5,2075.9,195.47,42.493,11.542,65.09,469.6,30.823,cruise,0,Baseline
160.0,2115.3,189.82,42.047,11.417,66.08,470.0,30.833,cruise,0,Baseline
162.5,2152.8,188.33,42.459,11.544,66.92,471.2,30.791,cruise,0,Baseline
165.0,2197.8,179.91,41.406,11.272,67.73,473.2,30.753,cruise,0,Baseline
